planet_name,host_star,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,orbital_period,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,distance_from_star,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,radius,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,mass,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,surface_temp,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,star_temp,st_tefferr1,st_tefferr2,st_tefflim,star_radius,st_raderr1,st_raderr2,st_radlim,star_mass,st_masserr1,st_masserr2,st_masslim,metallicity,st_meterr1,st_meterr2,st_metlim,st_metratio,star_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,density,luminosity,star_type,star_luminosity,habitability_score_index,stellar_compatibility_index,combined_habitability_score,radius_distance_ratio,mass_radius_ratio,temp_density_interaction,star_type_A,star_type_B,star_type_F,star_type_G,star_type_K,star_type_M,habitability_class
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,5.414209543871121,0.6520101007640611,G,0.6671831761439871,0.849,0.9208208701758314,0.8777283480703325,2.5862037115717835,4.333331269842252,1510.5644627400427,False,False,False,True,False,False,High
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,5.414209543871121,0.5974947543697903,G,0.6671831761439871,0.849,0.9208208701758314,0.8777283480703325,2.5862037115717835,4.333331269842252,1510.5644627400427,False,False,False,True,False,False,High
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,5.414209543871121,0.7972270356982981,G,0.6671831761439871,0.849,0.9208208701758314,0.8777283480703325,2.5862037115717835,4.333331269842252,1510.5644627400427,False,False,False,True,False,False,High
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,5.414209543871121,0.6426266835196417,G,0.6671831761439871,0.849,0.9208208701758314,0.8777283480703325,2.5862037115717835,4.333331269842252,1510.5644627400427,False,False,False,True,False,False,High
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,5.414209543871121,0.8713398184351817,G,0.6671831761439871,0.849,0.9208208701758314,0.8777283480703325,2.5862037115717835,4.333331269842252,1510.5644627400427,False,False,False,True,False,False,High
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,5.414209543871121,0.6644162200930519,G,0.6671831761439871,0.849,0.9208208701758314,0.8777283480703325,2.5862037115717835,4.333331269842252,1510.5644627400427,False,False,False,True,False,False,High
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,5.414209543871121,0.8356710106257748,G,0.6671831761439871,0.849,0.9208208701758314,0.8777283480703325,2.5862037115717835,4.333331269842252,1510.5644627400427,False,False,False,True,False,False,High
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,5.414209543871121,0.6053406501497619,G,0.6671831761439871,0.849,0.9208208701758314,0.8777283480703325,2.5862037115717835,4.333331269842252,1510.5644627400427,False,False,False,True,False,False,High
HD 191939 g,HD 191939,1,1,6,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,284.0,10.0,-8.0,0.0,0.812,0.028,-0.028,0.0,2.23,,,,,,,,13.5,2.0,-2.0,0.0,0.04247575,0.0062927,-0.0062927,0.0,Msini,0.03,0.025,-0.011,0.0,0.99,0.08,-0.08,0.0,278.0,6.0,-6.0,0.0,0.0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348.0,100.0,-100.0,0.0,0.94,0.02,-0.02,0.0,0.81,0.04,-0.04,0.0,-0.15,0.06,-0.06,0.0,[Fe/H],4.3,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089,0.0733,-0.0731,8.97,0.03,-0.03,7.18,0.021,-0.021,8.77476,0.000238,-0.000238,2022-11-14,2022-11,2022-11-14,6.707655338783259,0.6485017487293495,G,0.651202429091183,0.7458672330608369,0.91613637746141,0.8139748908210662,2.746302036573846,6.053808944480294,1864.728184181746,False,False,False,True,False,False,High
Kepler-725 c,Kepler-725,1,1,2,Transit Timing Variations,2025,Kepler,Published Confirmed,0,<a refstr=SUN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025NatAs.tmp..127S/abstract target=ref>Sun et al. 2025</a>,207.541,0.348,-0.248,0.0,0.6744,0.0023,-0.0023,0.0,2.23,,,,,,,,9.7,3.3,-2.3,0.0,0.03051961,0.01038296,-0.00723661,0.0,Mass,0.436,0.017,-0.017,0.0,1.4,0.2,-0.2,0.0,268.0,8.0,-8.0,0.0,0.0,<a refstr=SUN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025NatAs.tmp..127S/abstract target=ref>Sun et al. 2025</a>,,5395.0,64.0,-64.0,0.0,0.88,0.05,-0.03,0.0,0.95,0.01,-0.01,0.0,-0.01,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h55m54.60s,283.9774949,+44d48m41.62s,44.8115613,758.469,13.877,-13.396,15.145,0.08,-0.08,13.222,0.038,-0.038,14.9929,0.000722,-0.000722,2025-06-26,2025-06,2025-06-26,4.819574576755379,0.5886009928673347,G,0.5910522170089924,0.7162499999999999,0.9352710366353114,0.8038584146541246,3.3066380387929435,4.349773834182137,1291.6459865704414,False,False,False,True,False,False,High
